'sample interval','Fx','Fy','Fz','Mx','My','Mz','COPx','COPy'
0,2.415,-0.05,0.684,0.874,-2.029,0.029,0.391,0.162
1,2.417,-0.066,0.209,0.864,-2.074,0.024,0.393,0.161
2,2.42,-0.073,-0.175,0.858,-2.119,0.021,0.395,0.161
3,2.425,-0.064,-0.405,0.86,-2.165,0.02,0.4,0.161
4,2.435,-0.038,-0.466,0.869,-2.21,0.02,0.408,0.163
5,2.45,-0.001,-0.391,0.882,-2.255,0.021,0.417,0.165
6,2.472,0.04,-0.242,0.895,-2.298,0.022,0.428,0.168
7,2.502,0.072,-0.09,0.904,-2.338,0.023,0.437,0.169
8,2.54,0.09,0.008,0.909,-2.374,0.022,0.446,0.17
9,2.582,0.088,0.022,0.909,-2.406,0.022,0.452,0.17
10,2.625,0.068,-0.049,0.905,-2.435,0.022,0.456,0.169
11,2.666,0.037,-0.182,0.901,-2.461,0.023,0.459,0.169
12,2.703,0.001,-0.342,0.897,-2.488,0.025,0.461,0.168
13,2.736,-0.031,-0.495,0.895,-2.517,0.029,0.465,0.168
14,2.767,-0.056,-0.61,0.896,-2.548,0.034,0.469,0.168
15,2.797,-0.07,-0.67,0.9,-2.582,0.041,0.474,0.169
16,2.829,-0.073,-0.669,0.906,-2.617,0.05,0.481,0.17
17,2.863,-0.069,-0.612,0.913,-2.649,0.06,0.487,0.172
18,2.896,-0.06,-0.512,0.919,-2.677,0.071,0.494,0.173
19,2.922,-0.049,-0.391,0.923,-2.698,0.082,0.5,0.173
20,2.936,-0.04,-0.271,0.923,-2.712,0.092,0.504,0.173
21,2.931,-0.034,-0.172,0.922,-2.719,0.101,0.507,0.172
22,2.905,-0.033,-0.105,0.92,-2.718,0.107,0.508,0.172
23,2.861,-0.035,-0.069,0.919,-2.711,0.111,0.507,0.172
24,2.805,-0.04,-0.053,0.922,-2.699,0.113,0.505,0.172
25,2.747,-0.049,-0.042,0.929,-2.684,0.113,0.502,0.173
26,2.697,-0.059,-0.022,0.94,-2.67,0.113,0.5,0.176
27,2.664,-0.072,0.017,0.955,-2.659,0.114,0.498,0.178
28,2.651,-0.087,0.08,0.973,-2.651,0.116,0.498,0.182
29,2.658,-0.106,0.164,0.992,-2.646,0.12,0.498,0.185
30,2.68,-0.126,0.264,1.009,-2.643,0.124,0.499,0.188
31,2.713,-0.145,0.372,1.024,-2.641,0.129,0.5,0.19
32,2.75,-0.159,0.474,1.035,-2.64,0.133,0.502,0.192
33,2.788,-0.165,0.553,1.04,-2.641,0.135,0.503,0.193
34,2.821,-0.161,0.586,1.041,-2.645,0.136,0.504,0.193
35,2.847,-0.147,0.552,1.037,-2.654,0.135,0.505,0.192
36,2.864,-0.128,0.435,1.029,-2.665,0.131,0.506,0.191
37,2.871,-0.104,0.232,1.02,-2.677,0.127,0.505,0.19
38,2.868,-0.079,-0.04,1.011,-2.689,0.123,0.503,0.189
39,2.855,-0.056,-0.347,1.003,-2.697,0.12,0.5,0.188
40,2.834,-0.034,-0.643,0.997,-2.699,0.119,0.496,0.187
41,2.804,-0.017,-0.882,0.994,-2.695,0.12,0.492,0.187
42,2.765,-0.008,-1.027,0.993,-2.682,0.121,0.487,0.187
43,2.713,-0.011,-1.058,0.994,-2.659,0.121,0.483,0.187
44,2.65,-0.028,-0.971,0.995,-2.624,0.121,0.478,0.188
45,2.58,-0.057,-0.783,0.996,-2.579,0.12,0.472,0.187
46,2.509,-0.095,-0.524,0.998,-2.524,0.119,0.466,0.187
47,2.446,-0.135,-0.237,1,-2.466,0.119,0.459,0.187
48,2.398,-0.169,0.031,1.003,-2.408,0.122,0.452,0.187
49,2.369,-0.193,0.24,1.006,-2.357,0.127,0.446,0.187
50,2.359,-0.205,0.362,1.009,-2.319,0.134,0.44,0.188
51,2.366,-0.205,0.384,1.01,-2.297,0.142,0.437,0.188
52,2.385,-0.195,0.314,1.01,-2.291,0.149,0.435,0.188
53,2.41,-0.181,0.171,1.008,-2.3,0.155,0.434,0.188
54,2.435,-0.166,-0.014,1.004,-2.318,0.158,0.435,0.187
55,2.455,-0.153,-0.209,0.999,-2.339,0.159,0.436,0.187
56,2.467,-0.145,-0.382,0.997,-2.356,0.157,0.436,0.187
57,2.473,-0.143,-0.505,0.999,-2.365,0.156,0.436,0.187
58,2.475,-0.145,-0.56,1.006,-2.363,0.154,0.435,0.189
59,2.478,-0.148,-0.542,1.019,-2.353,0.154,0.433,0.191
60,2.484,-0.147,-0.462,1.035,-2.339,0.156,0.432,0.194
